ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
10403_BINDUNG_1,10403,Spillmann_Emil_1871__,,,,,,,,
10405_BINDUNG_1,10405,Heusser_Wilhelm_1853__,,,,,,,,
10406_BINDUNG_1,10406,Kunz_Gottfried_1863__,Polit. Amt,Gemeinderat Uetikon,,,,,,
10419_BINDUNG_1,10419,Fähndrich_Moritz_1865__,,,,,,,,
10429_BINDUNG_1,10429,Hardmeyer-Jenny_Johann_Jakob_1826__,,,,,,,,
10470_BINDUNG_1,10470,Schenkel_Hermann_1847__,,,,,,,,
10478_BINDUNG_1,10478,Müller_Konrad___,,,,,,,,
10480_BINDUNG_1,10480,Peter_Jakob_Christoph___,,,,,,,,
10483_BINDUNG_1,10483,Spillmann_Heinrich___,,,,,,,,
10491_BINDUNG_1,10491,Grossmann_Heinrich_1824__,,,,,,,,
10496_BINDUNG_1,10496,Krebser_August___,,,,,,,,
10527_BINDUNG_1,10527,Manz_Adolf_1858__,,,,,,,,
10539_BINDUNG_1,10539,Landolt_Hermann_1852__,,,,,,,,
10544_BINDUNG_1,10544,Leemann_Heinrich_1861__,Polit. Amt,Gemeinderat Töss,,,,,,
10545_BINDUNG_1,10545,Leemann_Heinrich_1856_04_,,,,,,,,
10557_BINDUNG_1,10557,Frey_Emil_1856__,,,,,,,,
10568_BINDUNG_1,10568,Hirzel_Arnold_1859__,,,,,,,,
10570_BINDUNG_1,10570,Hirzel_Alfred_1872__,Polit. Amt,Gemeinderat Wetzikon,,,1915,,,1919
10572_BINDUNG_1,10572,Büeler_Heinrich_1845__,Polit. Amt,Gemeinderat Wetzikon,,,,2,3,1898
10576_BINDUNG_1,10576,Huber_Albert_1863__,,,,,,,,
10580_BINDUNG_1,10580,Ringger_Johann_1834__,,,,,,,,
10583_BINDUNG_1,10583,Fischer-Erni_Johannes_1840__,Polit. Amt,Gemeinderat Wallisellen,,,,,,
10596_BINDUNG_1,10596,Kunz_Albert_1847__,Polit. Amt,Gemeinderat Wädenswil,,,,,,
10605_BINDUNG_1,10605,Klauser_Gustav_1845__,,,,,,,,
10610_BINDUNG_1,10610,Rüegg_Heinrich_1867__,,,,,,,,
10613_BINDUNG_1,10613,Büeler_Heinrich_1837__,Polit. Amt,Gemeinderat Erlenbach,,,,,,
10618_BINDUNG_1,10618,Schlumpf_Heinrich_1846__,Polit. Amt,Gemeinderat Mönchaltorf,,,,,,
10632_BINDUNG_1,10632,Hablützel_Heinrich_1859__,,,,,,,,
10643_BINDUNG_1,10643,Tanner_Heinrich___,,,,,,,,
10649_BINDUNG_1,10649,Steffen_Heinrich_1833__,,,,,,,,
10651_BINDUNG_1,10651,Müller_Konrad_1824__,,,,,,,,
10659_BINDUNG_1,10659,Bruppacher_Heinrich___,,,,,,,,
10692_BINDUNG_1,10692,Leemann-Wirz_Jakob___,,,,,,,,
10696_BINDUNG_1,10696,Werdmüller_Johann_Jakob___,,,,,,,,
10697_BINDUNG_1,10697,Leimbacher_Konrad___,,,,,,,,
10698_BINDUNG_1,10698,Brupbacher-Nägeli_Heinrich_1824__,,,,,,,,
10721_BINDUNG_1,10721,Bühler_Jakob_1848__,,,,,,,,
10722_BINDUNG_1,10722,Schwarber_Jakob_1852__,,,,,,,,
10789_BINDUNG_1,10789,Schlatter_Johann_1851__,,,,,,,,
10797_BINDUNG_1,10797,Stähli_Eduard_1843__,,,,,,,,
10798_BINDUNG_1,10798,Müller_Johann_Heinrich_1848__,,,,,,,,
10800_BINDUNG_1,10800,Frey_Albert_1837__,,,,,,,,
